player_team_id,team_id,player_id
1,1,4
2,2,8
3,3,5
4,4,10
5,4,11
6,5,4
7,6,8
8,7,5
9,8,10
10,8,11
11,9,4
12,9,1
13,10,8
14,11,5
15,12,10
16,12,11
17,13,4
18,13,1
19,14,8
20,15,5
21,16,10
22,16,11
23,17,1
24,18,4
25,19,3
26,20,12
27,21,1
28,21,4
29,22,8
30,23,6
31,23,5
32,24,12
